studentID,diemqt,assignmentID,problemID,is_final,status,pre_score,coefficient
0,7.5,158,307,0,1,0,3
0,7.5,158,192,0,1,0,3
0,7.5,158,358,0,1,0,3
0,7.5,158,307,0,1,0,3
0,7.5,158,192,0,1,0,3
0,7.5,158,307,1,1,10000,3
0,7.5,158,192,0,1,0,3
0,7.5,158,192,0,1,0,3
0,7.5,158,192,0,1,0,3
0,7.5,158,192,0,1,0,3
0,7.5,158,192,1,1,10000,3
0,7.5,158,358,0,1,0,3
0,7.5,158,358,1,1,10000,3
0,7.5,44,308,1,1,10000,3
0,7.5,44,252,0,0,0,3
0,7.5,44,252,0,0,0,3
0,7.5,44,252,0,1,0,3
0,7.5,44,252,0,1,0,3
0,7.5,44,252,0,1,0,3
0,7.5,44,252,0,0,0,3
0,7.5,44,252,0,1,0,3
0,7.5,44,252,0,1,0,3
0,7.5,44,252,1,1,10000,3
0,7.5,44,216,0,0,0,3
0,7.5,44,216,0,0,0,3
0,7.5,44,216,0,0,0,3
0,7.5,44,216,1,1,10000,3
0,7.5,44,89,0,0,0,3
0,7.5,44,89,1,1,10000,3
0,7.5,44,47,1,1,10000,3
0,7.5,44,55,0,1,7000,3
0,7.5,44,55,0,1,6000,3
0,7.5,44,55,0,1,5000,3
0,7.5,44,55,0,1,7000,3
0,7.5,44,55,0,1,8000,3
0,7.5,44,55,0,1,8000,3
0,7.5,44,341,0,1,0,3
0,7.5,44,341,0,1,7692,3
0,7.5,44,341,0,1,7692,3
0,7.5,44,341,0,0,0,3
0,7.5,44,341,0,1,0,3
0,7.5,44,341,0,1,7692,3
0,7.5,44,341,0,1,8461,3
0,7.5,44,341,0,1,8461,3
0,7.5,44,341,1,1,10000,3
0,7.5,44,416,0,1,0,3
0,7.5,44,416,0,1,0,3
0,7.5,44,416,0,1,0,3
0,7.5,44,416,0,1,9090,3
0,7.5,44,416,0,1,9090,3
0,7.5,44,55,1,1,10000,3
0,7.5,44,257,0,0,0,3
0,7.5,44,314,1,1,10000,3
0,7.5,44,416,0,1,9090,3
0,7.5,44,416,0,1,9090,3
0,7.5,44,257,0,1,1333,3
0,7.5,44,257,1,1,10000,3
0,7.5,44,416,1,1,10000,3
0,7.5,27,346,1,1,10000,3
0,7.5,27,346,0,1,10000,3
0,7.5,27,30,1,1,10000,3
0,7.5,27,382,1,1,10000,3
0,7.5,27,0,1,1,10000,3
0,7.5,27,430,0,1,2777,3
0,7.5,27,430,1,1,10000,3
0,7.5,27,290,1,1,10000,3
0,7.5,27,118,1,1,10000,3
0,7.5,27,214,0,1,0,3
0,7.5,27,214,0,1,0,3
0,7.5,27,214,1,1,10000,3
0,7.5,185,389,0,0,0,3
0,7.5,185,389,0,0,0,3
0,7.5,185,389,0,0,0,3
0,7.5,185,389,1,1,10000,3
0,7.5,185,429,0,0,0,3
0,7.5,185,429,1,1,10000,3
